Project Name,Package Name,Type Name,Code Smell
irccloud,com.irccloud.android,ActionEditText,Broken Hierarchy
irccloud,com.irccloud.android,AppCompatDialogPreference,Unutilized Abstraction
irccloud,com.irccloud.android,AppCompatDialogPreference,Deficient Encapsulation
irccloud,com.irccloud.android,SavedState,Deficient Encapsulation
irccloud,com.irccloud.android,AppCompatEditTextPreference,Unutilized Abstraction
irccloud,com.irccloud.android,AppCompatEditTextPreference,Deficient Encapsulation
irccloud,com.irccloud.android,SavedState,Unutilized Abstraction
irccloud,com.irccloud.android,AppCompatListPreference,Unutilized Abstraction
irccloud,com.irccloud.android,AppCompatListPreference,Deficient Encapsulation
irccloud,com.irccloud.android,AsyncTaskEx,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,InternalHandler,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,WorkerRunnable,Unnecessary Abstraction
irccloud,com.irccloud.android,AsyncTaskExResult,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,BackgroundTaskWorker,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,BackgroundTasksDao,Unutilized Abstraction
irccloud,com.irccloud.android,ChromeCopyLinkBroadcastReceiver,Unutilized Abstraction
irccloud,com.irccloud.android,CollapsedEventsList,Deficient Encapsulation
irccloud,com.irccloud.android,CollapsedEventsList,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,CollapsedEventsList,Insufficient Modularization
irccloud,com.irccloud.android,CollapsedEvent,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,comparator,Unutilized Abstraction
irccloud,com.irccloud.android,ColorFormatter,Deficient Encapsulation
irccloud,com.irccloud.android,ColorFormatter,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,ColorFormatter,Insufficient Modularization
irccloud,com.irccloud.android,TypefaceSpan,Unutilized Abstraction
irccloud,com.irccloud.android,LargeSpan,Unutilized Abstraction
irccloud,com.irccloud.android,URLSpanNoUnderline,Unutilized Abstraction
irccloud,com.irccloud.android,TextLinkSpanNoUnderline,Unutilized Abstraction
irccloud,com.irccloud.android,Mention,Deficient Encapsulation
irccloud,com.irccloud.android,ColorScheme,Deficient Encapsulation
irccloud,com.irccloud.android,ColorScheme,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,DownloadCompletedReceiver,Unutilized Abstraction
irccloud,com.irccloud.android,FCMService,Unutilized Abstraction
irccloud,com.irccloud.android,FontAwesome,Deficient Encapsulation
irccloud,com.irccloud.android,FontAwesome,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,HTTPFetcher,Unutilized Abstraction
irccloud,com.irccloud.android,ConnectRunnable,Unutilized Abstraction
irccloud,com.irccloud.android,IRCCloudApplication,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,IRCCloudJSONObject,Cyclic-Dependent Modularization
irccloud,com.irccloud.android,IRCCloudLinkMovementMethod,Deficient Encapsulation
irccloud,com.irccloud.android,IRCCloudLinkMovementMethod,Cyclic-Dependent Modularization
