Project Name,Package Name,Type Name,Code Smell
lbry,io.lbry.browser,ExampleInstrumentedTest,Unutilized Abstraction
lbry,io.lbry.browser,FirstRunActivity,Unutilized Abstraction
lbry,io.lbry.browser,AuthenticateTask,Unutilized Abstraction
lbry,io.lbry.browser,LbrynetMessagingService,Deficient Encapsulation
lbry,io.lbry.browser,LbrynetMessagingService,Cyclic-Dependent Modularization
lbry,io.lbry.browser,LocalFileProvider,Unnecessary Abstraction
lbry,io.lbry.browser,LocalFileProvider,Unutilized Abstraction
lbry,io.lbry.browser,MainActivity,Deficient Encapsulation
lbry,io.lbry.browser,MainActivity,Cyclic-Dependent Modularization
lbry,io.lbry.browser,MainActivity,Insufficient Modularization
lbry,io.lbry.browser,MainActivity,Hub-like Modularization
lbry,io.lbry.browser,PlayerNotificationDescriptionAdapter,Unutilized Abstraction
lbry,io.lbry.browser,CheckSdkReadyTask,Cyclic-Dependent Modularization
lbry,io.lbry.browser,VerificationActivity,Deficient Encapsulation
lbry,io.lbry.browser,VerificationActivity,Cyclic-Dependent Modularization
lbry,io.lbry.browser,VerificationActivity,Insufficient Modularization
lbry,io.lbry.browser.utils,HelperTest,Unnecessary Abstraction
lbry,io.lbry.browser.utils,HelperTest,Unutilized Abstraction
lbry,io.lbry.browser.utils,Comments,Deficient Encapsulation
lbry,io.lbry.browser.utils,Comments,Cyclic-Dependent Modularization
lbry,io.lbry.browser.utils,Events,Unnecessary Abstraction
lbry,io.lbry.browser.utils,Events,Unutilized Abstraction
lbry,io.lbry.browser.utils,Events,Deficient Encapsulation
lbry,io.lbry.browser.utils,ExoplayerAudioRenderer,Unutilized Abstraction
lbry,io.lbry.browser.utils,Helper,Deficient Encapsulation
lbry,io.lbry.browser.utils,Helper,Cyclic-Dependent Modularization
lbry,io.lbry.browser.utils,Helper,Insufficient Modularization
lbry,io.lbry.browser.utils,Lbry,Deficient Encapsulation
lbry,io.lbry.browser.utils,Lbry,Cyclic-Dependent Modularization
lbry,io.lbry.browser.utils,Lbry,Insufficient Modularization
lbry,io.lbry.browser.utils,LbryAnalytics,Deficient Encapsulation
lbry,io.lbry.browser.utils,Lbryio,Deficient Encapsulation
