Project Name,Package Name,Type Name,Code Smell
andlytics,com.github.andlyticsproject.about,AboutActivity,Unutilized Abstraction
andlytics,com.github.andlyticsproject,AccountSpecificPreferenceActivity,Unutilized Abstraction
andlytics,com.github.andlyticsproject,AdmobAuthenticatorActivity,Deficient Encapsulation
andlytics,com.github.andlyticsproject,AdmobAuthenticatorActivity,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,AdmobFragment,Unutilized Abstraction
andlytics,com.github.andlyticsproject,AdmobFragment,Deficient Encapsulation
andlytics,com.github.andlyticsproject,AdmobFragment,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,AdmobFragment,Insufficient Modularization
andlytics,com.github.andlyticsproject,AdmobDbLoader,Unutilized Abstraction
andlytics,com.github.andlyticsproject,LoadAdUnitsTask,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,AdmobListAdapter,Insufficient Modularization
andlytics,com.github.andlyticsproject,AdmobValueCallbackHander,Unutilized Abstraction
andlytics,com.github.andlyticsproject,AndlyticsApp,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,AppInfoActivity,Deficient Encapsulation
andlytics,com.github.andlyticsproject,AppInfoActivity,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,ContextCallback,Unutilized Abstraction
andlytics,com.github.andlyticsproject,LoadLinksDb,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,AppStatsDiff,Insufficient Modularization
andlytics,com.github.andlyticsproject,AsyncTasks,Unutilized Abstraction
andlytics,com.github.andlyticsproject,BaseActivity,Deficient Encapsulation
andlytics,com.github.andlyticsproject,BaseActivity,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,BaseActivity,Insufficient Modularization
andlytics,com.github.andlyticsproject,ChartFragment,Unutilized Abstraction
andlytics,com.github.andlyticsproject,ChartFragmentBase,Unutilized Abstraction
andlytics,com.github.andlyticsproject,DevConValueCallbackHander,Unutilized Abstraction
andlytics,com.github.andlyticsproject,ChartSwitcher,Unutilized Abstraction
andlytics,com.github.andlyticsproject,CommentsFragment,Deficient Encapsulation
andlytics,com.github.andlyticsproject,CommentsFragment,Insufficient Modularization
andlytics,com.github.andlyticsproject,Comments,Unnecessary Abstraction
andlytics,com.github.andlyticsproject,CommentsLoader,Unutilized Abstraction
andlytics,com.github.andlyticsproject,RemoteCommentsLoader,Unutilized Abstraction
andlytics,com.github.andlyticsproject,RemoteCommentsLoader,Broken Hierarchy
andlytics,com.github.andlyticsproject,CommentsListAdapter,Insufficient Modularization
andlytics,com.github.andlyticsproject,ViewHolderGroup,Unnecessary Abstraction
andlytics,com.github.andlyticsproject,ViewHolderChild,Broken Modularization
andlytics,com.github.andlyticsproject,ContentAdapter,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,ContentAdapter,Insufficient Modularization
andlytics,com.github.andlyticsproject,DetailsActivity,Deficient Encapsulation
andlytics,com.github.andlyticsproject,DetailsActivity,Broken Hierarchy
andlytics,com.github.andlyticsproject,DetailsActivity,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,TabListener,Unutilized Abstraction
andlytics,com.github.andlyticsproject,DownloadsChartListAdapter,Unutilized Abstraction
andlytics,com.github.andlyticsproject,DownloadsFragment,Unutilized Abstraction
andlytics,com.github.andlyticsproject,ExportActivity,Deficient Encapsulation
andlytics,com.github.andlyticsproject,ExportActivity,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,ConfirmExportDialogFragment,Deficient Encapsulation
andlytics,com.github.andlyticsproject,LoadExportTask,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,ExportListAdapter,Unutilized Abstraction
andlytics,com.github.andlyticsproject,ExportListAdapter,Deficient Encapsulation
andlytics,com.github.andlyticsproject,ViewHolder,Unnecessary Abstraction
andlytics,com.github.andlyticsproject,ViewHolder,Unutilized Abstraction
andlytics,com.github.andlyticsproject,ViewHolder,Deficient Encapsulation
andlytics,com.github.andlyticsproject,ViewHolder,Broken Modularization
andlytics,com.github.andlyticsproject,GetCachedImageTask,Unutilized Abstraction
andlytics,com.github.andlyticsproject,ImportActivity,Deficient Encapsulation
andlytics,com.github.andlyticsproject,ImportActivity,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,ConfirmImportDialogFragment,Deficient Encapsulation
andlytics,com.github.andlyticsproject,LoadImportDialogTask,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,ImportListAdapter,Unutilized Abstraction
andlytics,com.github.andlyticsproject,ImportListAdapter,Deficient Encapsulation
andlytics,com.github.andlyticsproject,LinksListAdapter,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,ViewHolderChild,Unnecessary Abstraction
andlytics,com.github.andlyticsproject,ViewHolderChild,Unutilized Abstraction
andlytics,com.github.andlyticsproject,LoginActivity,Deficient Encapsulation
andlytics,com.github.andlyticsproject,LoginActivity,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,Main,Deficient Encapsulation
andlytics,com.github.andlyticsproject,Main,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,Main,Insufficient Modularization
andlytics,com.github.andlyticsproject,State,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,LoadRemoteEntries,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,LoadDbEntries,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,LoadIconInCache,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,MainListAdapter,Deficient Encapsulation
andlytics,com.github.andlyticsproject,MainListAdapter,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,MainListAdapter,Insufficient Modularization
andlytics,com.github.andlyticsproject,ExpandAnimation,Unutilized Abstraction
andlytics,com.github.andlyticsproject,NotificationPreferenceActivity,Unutilized Abstraction
andlytics,com.github.andlyticsproject,Preferences,Deficient Encapsulation
andlytics,com.github.andlyticsproject,Preferences,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject,Preferences,Insufficient Modularization
andlytics,com.github.andlyticsproject,RatingsFragment,Unutilized Abstraction
andlytics,com.github.andlyticsproject,ReplyDialog,Deficient Encapsulation
andlytics,com.github.andlyticsproject,RevenueChartListAdapter,Unutilized Abstraction
andlytics,com.github.andlyticsproject,RevenueFragment,Unutilized Abstraction
andlytics,com.github.andlyticsproject.admob,AdmobAccountAuthenticator,Deficient Encapsulation
andlytics,com.github.andlyticsproject.admob,AdmobAccountAuthenticator,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject.admob,Authenticator,Cyclic-Dependent Modularization
andlytics,com.github.andlyticsproject.admob,AdmobAccountRemovedException,Unutilized Abstraction
andlytics,com.github.andlyticsproject.admob,AdmobAccountRemovedException,Broken Hierarchy
