Project Name,Package Name,Type Name,Method Name,Code Smell
andlytics,com.github.andlyticsproject.about,AboutActivity,onOptionsItemSelected,Missing default
andlytics,com.github.andlyticsproject,AccountSpecificPreferenceActivity,onLoadAppListTaskComplete,Long Identifier
andlytics,com.github.andlyticsproject,AccountSpecificPreferenceActivity,onOptionsItemSelected,Missing default
andlytics,com.github.andlyticsproject,AdmobAuthenticatorActivity,onAuthenticationResult,Long Statement
andlytics,com.github.andlyticsproject,AdmobFragment,load,Magic Number
andlytics,com.github.andlyticsproject,AdmobFragment,onCreateOptionsMenu,Complex Method
andlytics,com.github.andlyticsproject,AdmobFragment,onOptionsItemSelected,Complex Method
andlytics,com.github.andlyticsproject,AdmobFragment,onOptionsItemSelected,Missing default
andlytics,com.github.andlyticsproject,AdmobFragment,loadChartData,Long Statement
andlytics,com.github.andlyticsproject,AdmobFragment,getExtraFullViews,Long Statement
andlytics,com.github.andlyticsproject,AdmobFragment,onPostExecute,Complex Method
andlytics,com.github.andlyticsproject,AdmobDbLoader,load,Magic Number
andlytics,com.github.andlyticsproject,LoadAdUnitsTask,onPostExecute,Complex Method
andlytics,com.github.andlyticsproject,AdmobListAdapter,getNumPages,Magic Number
andlytics,com.github.andlyticsproject,AdmobListAdapter,getNumCharts,Magic Number
andlytics,com.github.andlyticsproject,AdmobListAdapter,getNumCharts,Missing default
andlytics,com.github.andlyticsproject,AdmobListAdapter,getChartTitle,Complex Method
andlytics,com.github.andlyticsproject,AdmobListAdapter,updateChartValue,Complex Method
andlytics,com.github.andlyticsproject,AdmobListAdapter,updateChartValue,Magic Number
andlytics,com.github.andlyticsproject,AdmobListAdapter,buildChart,Complex Method
andlytics,com.github.andlyticsproject,AdmobListAdapter,buildChart,Long Parameter List
andlytics,com.github.andlyticsproject,AdmobListAdapter,getSubHeadLine,Complex Method
andlytics,com.github.andlyticsproject,AdmobListAdapter,getSubHeadLine,Long Statement
andlytics,com.github.andlyticsproject,AdmobListAdapter,getSubHeadLine,Magic Number
andlytics,com.github.andlyticsproject,AndlyticsPreferenceActivity,buildAccountsList,Long Identifier
andlytics,com.github.andlyticsproject,AndlyticsPreferenceActivity,onOptionsItemSelected,Missing default
andlytics,com.github.andlyticsproject,AppInfoActivity,onOptionsItemSelected,Missing default
andlytics,com.github.andlyticsproject,AppStatsDiff,hasChanges,Complex Conditional
andlytics,com.github.andlyticsproject,BaseActivity,handleUserVisibleException,Complex Method
andlytics,com.github.andlyticsproject,BaseActivity,showGooglePlayServicesAvailabilityErrorDialog,Long Statement
andlytics,com.github.andlyticsproject,BaseActivity,run,Long Statement
andlytics,com.github.andlyticsproject,BaseChartListAdapter,BaseChartListAdapter,Abstract Function Call From Constructor
andlytics,com.github.andlyticsproject,BaseChartListAdapter,getView,Complex Method
andlytics,com.github.andlyticsproject,BaseChartListAdapter,getView,Long Statement
andlytics,com.github.andlyticsproject,BaseChartListAdapter,getView,Magic Number
andlytics,com.github.andlyticsproject,BaseChartListAdapter,createTextView,Magic Number
andlytics,com.github.andlyticsproject,BaseChartListAdapter,buildChart,Long Parameter List
andlytics,com.github.andlyticsproject,ChartFragment,updateView,Long Statement
andlytics,com.github.andlyticsproject,ChartFragment,onOptionsItemSelected,Complex Method
andlytics,com.github.andlyticsproject,ChartFragment,onOptionsItemSelected,Missing default
andlytics,com.github.andlyticsproject,ChartFragmentBase,updateCharts,Magic Number
andlytics,com.github.andlyticsproject,ChartListAdapter,getNumPages,Magic Number
andlytics,com.github.andlyticsproject,ChartListAdapter,getNumCharts,Magic Number
andlytics,com.github.andlyticsproject,CommentsFragment,CommentsLoader,Long Parameter List
andlytics,com.github.andlyticsproject,CommentsFragment,load,Complex Conditional
andlytics,com.github.andlyticsproject,CommentsFragment,RemoteCommentsLoader,Long Parameter List
andlytics,com.github.andlyticsproject,CommentsFragment,load,Long Statement
andlytics,com.github.andlyticsproject,CommentsFragment,onOptionsItemSelected,Missing default
andlytics,com.github.andlyticsproject,CommentsFragment,onLoadFinished,Complex Method
andlytics,com.github.andlyticsproject,CommentsLoader,CommentsLoader,Long Parameter List
andlytics,com.github.andlyticsproject,CommentsLoader,load,Complex Conditional
andlytics,com.github.andlyticsproject,RemoteCommentsLoader,RemoteCommentsLoader,Long Parameter List
andlytics,com.github.andlyticsproject,RemoteCommentsLoader,load,Complex Conditional
andlytics,com.github.andlyticsproject,RemoteCommentsLoader,load,Long Statement
andlytics,com.github.andlyticsproject,CommentsListAdapter,getChildView,Complex Method
andlytics,com.github.andlyticsproject,CommentsListAdapter,getChildView,Long Method
andlytics,com.github.andlyticsproject,CommentsListAdapter,getChildView,Long Parameter List
andlytics,com.github.andlyticsproject,CommentsListAdapter,getChildView,Long Statement
andlytics,com.github.andlyticsproject,CommentsListAdapter,getChildView,Magic Number
andlytics,com.github.andlyticsproject,CommentsListAdapter,sendToGoogleTranslate,Long Statement
andlytics,com.github.andlyticsproject,CommentsListAdapter,getChildTypeCount,Magic Number
andlytics,com.github.andlyticsproject,ContentAdapter,getAdmobStats,Complex Method
andlytics,com.github.andlyticsproject,ContentAdapter,getAdmobStats,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,getAdmobStats,Magic Number
andlytics,com.github.andlyticsproject,ContentAdapter,readAdmobStats,Magic Number
andlytics,com.github.andlyticsproject,ContentAdapter,getAdmobStatsIdForDate,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,insertOrUpdateAppStats,Complex Method
andlytics,com.github.andlyticsproject,ContentAdapter,insertOrUpdateApp,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,getAppName,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,getPackagesForAccount,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,getAllAppsLatestStats,Complex Method
andlytics,com.github.andlyticsproject,ContentAdapter,getAllAppsLatestStats,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,setGhost,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,setRatingExpanded,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,getAppInfoByPackageName,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,getSkipNotification,Long Statement
andlytics,com.github.andlyticsproject,ContentAdapter,getStatsForApp,Complex Method
andlytics,com.github.andlyticsproject,ContentAdapter,getStatsForApp,Long Statement
