Project Name,Package Name,Type Name,Code Smell
Lyrebird,moe.lyrebird.model,BackendComponents,Unutilized Abstraction
Lyrebird,moe.lyrebird.model.credits.objects,CreditedWorkAuthor,Broken Hierarchy
Lyrebird,moe.lyrebird.model.credits.objects,CreditedWorkLicense,Broken Hierarchy
Lyrebird,moe.lyrebird.model.notifications.system,AwtNotificationSystem,Unutilized Abstraction
Lyrebird,moe.lyrebird.model.notifications.system,InternalNotificationSystem,Unutilized Abstraction
Lyrebird,moe.lyrebird.model.notifications.system,NotificationSystem,Unutilized Abstraction
Lyrebird,moe.lyrebird.model.sessions,SessionRepository,Unnecessary Abstraction
Lyrebird,moe.lyrebird.model.twitter.observables,Mentions,Broken Hierarchy
Lyrebird,moe.lyrebird.model.twitter.observables,Timeline,Broken Hierarchy
Lyrebird,moe.lyrebird.model.twitter.observables,UserTimeline,Broken Hierarchy
Lyrebird,moe.lyrebird.model.twitter.refresh,AutoRefreshService,Unutilized Abstraction
Lyrebird,moe.lyrebird.model.twitter.twitter4j,Twitter4JComponents,Unutilized Abstraction
Lyrebird,moe.lyrebird.model.update.client,LyrebirdServerClientInterceptor,Unutilized Abstraction
Lyrebird,moe.lyrebird.persistence,PersistenceConfiguration,Unnecessary Abstraction
Lyrebird,moe.lyrebird.persistence,PersistenceConfiguration,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.base,TimelineControllerBase,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.cells,CreditsCell,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.cells,DirectMessageListCell,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.cells,TweetListCell,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.controlbar,ControlBarController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.credits,CreditController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.currentaccount,CurrentAccountController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.directmessages,DirectMessagesController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.directmessages,DMPaneController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.mentions,MentionsController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.notifications,NotificationsController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.timeline,TimelineController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.components.tweet,TweetInteractionPaneController,Cyclic-Dependent Modularization
Lyrebird,moe.lyrebird.view.components.tweet,TweetPaneController,Cyclic-Dependent Modularization
Lyrebird,moe.lyrebird.view,LyrebirdUiManager,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.screens.credits,CreditsScreenController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.screens.media.display.photo,ImageScreenController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.screens.media.display.video,VideoScreenController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.screens.media.handlers.base,ImageHandler,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.screens.media.handlers.base,VideoHandler,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.screens.media.handlers.direct,DirectVideoHandler,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.screens.media.handlers,MediaHandler,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.screens.media,MediaEmbeddingService,Deficient Encapsulation
Lyrebird,moe.lyrebird.view.screens.newtweet,NewTweetController,Cyclic-Dependent Modularization
Lyrebird,moe.lyrebird.view.screens.update,UpdateScreenController,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.viewmodel.javafx,ClickableText,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.viewmodel.javafx,StageAware,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.viewmodel.tokenization.extractors,HashtagTokensExtractor,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.viewmodel.tokenization.extractors,ManagedUrlsTokensExtractor,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.viewmodel.tokenization.extractors,MentionsTokensExtractor,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.viewmodel.tokenization.extractors,UnmanagedUrlsTokensExtractor,Unutilized Abstraction
Lyrebird,moe.lyrebird.view.viewmodel.tokenization,TokensExtractor,Unutilized Abstraction
Lyrebird,moe.lyrebird.api.conf,Endpoints,Deficient Encapsulation
Lyrebird,moe.lyrebird.api.model,AbstractLyrebirdPackage,Unutilized Abstraction
Lyrebird,moe.lyrebird.api.model,AbstractLyrebirdVersion,Unutilized Abstraction
Lyrebird,moe.lyrebird.api.server.controllers,VersionController,Unutilized Abstraction
Lyrebird,moe.lyrebird.api.server,LyrebirdApiSecurityAdapter,Unutilized Abstraction
