Project Name,Package Name,Type Name,Code Smell
uexam,com.mindskip.xzs.base,BaseApiController,Unutilized Abstraction
uexam,com.mindskip.xzs.base,BaseEntity,Unnecessary Abstraction
uexam,com.mindskip.xzs.base,BaseEntity,Unutilized Abstraction
uexam,com.mindskip.xzs.base,BasePage,Unutilized Abstraction
uexam,com.mindskip.xzs.configuration.application,ApplicationContextProvider,Unutilized Abstraction
uexam,com.mindskip.xzs.configuration.spring.exception,ExceptionHandle,Unutilized Abstraction
uexam,com.mindskip.xzs.configuration.spring.mvc,WebMvcConfiguration,Unutilized Abstraction
uexam,com.mindskip.xzs.configuration.spring.security,SecurityConfigurer,Unutilized Abstraction
uexam,com.mindskip.xzs.configuration.spring.security,FormLoginWebSecurityConfigurerAdapter,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.admin,DashboardController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.admin,EducationController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.admin,ExamPaperAnswerController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.admin,ExamPaperController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.admin,MessageController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.admin,QuestionController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.admin,TaskController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.admin,UploadController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.admin,UserController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller,ErrorController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.student,DashboardController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.student,EducationController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.student,ExamPaperAnswerController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.student,ExamPaperController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.student,QuestionAnswerController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.student,QuestionController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.student,UploadController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.student,UserController,Unutilized Abstraction
uexam,com.mindskip.xzs.controller.wx,BaseWXApiController,Unutilized Abstraction
