Project Name,Package Name,Type Name,Code Smell
PocketHub,com.github.pockethub.android.tests.commit,CommitUriMatcherTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.commit,CommitUtilsTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.commit,CreateCommentActivityTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.commit,CreateCommentActivityTest,Deficient Encapsulation
PocketHub,com.github.pockethub.android.tests.commit,DiffStylerTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.commit,FullCommitTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.gist,CreateCommentActivityTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.gist,CreateCommentActivityTest,Deficient Encapsulation
PocketHub,com.github.pockethub.android.tests.gist,CreateGistActivityTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.gist,CreateGistActivityTest,Deficient Encapsulation
PocketHub,com.github.pockethub.android.tests.gist,GistFilesViewActivityTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.gist,GistFilesViewActivityTest,Deficient Encapsulation
PocketHub,com.github.pockethub.android.tests.gist,GistStoreTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.gist,GistUriMatcherTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.issue,CreateCommentActivityTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.issue,CreateCommentActivityTest,Deficient Encapsulation
PocketHub,com.github.pockethub.android.tests.issue,EditIssueActivityTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.issue,EditIssueActivityTest,Deficient Encapsulation
PocketHub,com.github.pockethub.android.tests.issue,EditIssuesFilterActivityTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.issue,EditIssuesFilterActivityTest,Deficient Encapsulation
PocketHub,com.github.pockethub.android.tests.issue,IssueFilterTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.issue,IssueStoreTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.issue,IssueUriMatcherTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests,NewsEventTextTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.ref,RefUtilsTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.repo,RecentRepositoriesTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.repo,RepositoryEventMatcherTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.repo,RepositoryUriMatcherTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.repo,SearchActivityTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.repo,SearchActivityTest,Deficient Encapsulation
PocketHub,com.github.pockethub.android.tests.user,UserComparatorTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.user,UserUriMatcherTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.util,HtmlUtilsTest,Unutilized Abstraction
PocketHub,com.github.pockethub.android.tests.util,HtmlUtilsTest,Insufficient Modularization
PocketHub,com.github.pockethub.android.accounts,AccountAuthenticatorService,Unutilized Abstraction
PocketHub,com.github.pockethub.android.accounts,AccountsHelper,Deficient Encapsulation
PocketHub,com.github.pockethub.android.accounts,AuthenticatorConflictException,Unnecessary Abstraction
PocketHub,com.github.pockethub.android.accounts,AuthenticatorConflictException,Unutilized Abstraction
PocketHub,com.github.pockethub.android.accounts,LoginActivity,Deficient Encapsulation
PocketHub,com.github.pockethub.android.accounts,LoginWebViewActivity,Unutilized Abstraction
PocketHub,com.github.pockethub.android,GitHubModule,Unutilized Abstraction
PocketHub,com.github.pockethub.android,Intents,Deficient Encapsulation
PocketHub,com.github.pockethub.android,Builder,Unutilized Abstraction
PocketHub,com.github.pockethub.android,PocketHubModule,Unutilized Abstraction
PocketHub,com.github.pockethub.android,RequestCodes,Unutilized Abstraction
PocketHub,com.github.pockethub.android,RequestCodes,Broken Modularization
PocketHub,com.github.pockethub.android,RequestReader,Unutilized Abstraction
PocketHub,com.github.pockethub.android,RequestWriter,Unutilized Abstraction
PocketHub,com.github.pockethub.android,ResultCodes,Unnecessary Abstraction
PocketHub,com.github.pockethub.android,ResultCodes,Unutilized Abstraction
PocketHub,com.github.pockethub.android,AccountManagerShadow,Deficient Encapsulation
PocketHub,com.github.pockethub.android.core.code,FullTree,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.code,FullTree,Deficient Encapsulation
PocketHub,com.github.pockethub.android.core.code,Entry,Deficient Encapsulation
PocketHub,com.github.pockethub.android.core.code,Entry,Cyclic-Dependent Modularization
PocketHub,com.github.pockethub.android.core.code,Folder,Deficient Encapsulation
PocketHub,com.github.pockethub.android.core.code,Folder,Cyclic-Dependent Modularization
PocketHub,com.github.pockethub.android.core.code,RefreshTreeTask,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.code,RefreshTreeModel,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.commit,RefreshCommitTask,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.gist,GistEventMatcher,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.gist,RefreshGistTask,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.issue,IssueEventMatcher,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.issue,IssueFilter,Deficient Encapsulation
PocketHub,com.github.pockethub.android.core.issue,IssueFilter,Insufficient Modularization
PocketHub,com.github.pockethub.android.core.issue,IssueUtils,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.issue,RefreshIssueTask,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core,ItemStore,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core,OnLoadListener,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.user,UserEventMatcher,Unutilized Abstraction
PocketHub,com.github.pockethub.android.core.user,UserEventMatcher,Deficient Encapsulation
PocketHub,com.github.pockethub.android.core.user,UserPair,Unutilized Abstraction
