Project Name,Package Name,Type Name,Method Name,Code Smell
commons,fr.free.nrw.commons,AboutActivity,onCreate,Long Statement
commons,fr.free.nrw.commons,AboutActivity,onOptionsItemSelected,Missing default
commons,fr.free.nrw.commons,AboutActivity,launchTranslate,Long Statement
commons,fr.free.nrw.commons,AboutActivity,launchTranslate,Magic Number
commons,fr.free.nrw.commons,CommonsApplication,onCreate,Long Statement
commons,fr.free.nrw.commons,CommonsApplication,initTimber,Magic Number
commons,fr.free.nrw.commons,CommonsApplication,deleteStaleLogs,Magic Number
commons,fr.free.nrw.commons,CommonsApplication,getFileLoggingThreadPool,Long Statement
commons,fr.free.nrw.commons,CommonsApplication,createNotificationChannel,Long Statement
commons,fr.free.nrw.commons,CommonsApplication,getUserAgent,Long Statement
commons,fr.free.nrw.commons,CommonsApplication,clearApplicationData,Long Statement
commons,fr.free.nrw.commons,OkHttpConnectionFactory,createClient,Long Statement
commons,fr.free.nrw.commons,OkHttpConnectionFactory,createClient,Magic Number
commons,fr.free.nrw.commons,OkHttpConnectionFactory,intercept,Long Statement
commons,fr.free.nrw.commons,CommonHeaderRequestInterceptor,intercept,Long Statement
commons,fr.free.nrw.commons,Utils,licenseUrlFor,Missing default
commons,fr.free.nrw.commons,Utils,fixExtension,Long Statement
commons,fr.free.nrw.commons,Utils,handleWebUrl,Long Statement
commons,fr.free.nrw.commons,WelcomePagerAdapter,instantiateItem,Long Statement
commons,fr.free.nrw.commons,TestAppAdapter,getOkHttpClient,Long Statement
commons,fr.free.nrw.commons.auth,LoginActivity,skipLogin,Long Statement
commons,fr.free.nrw.commons.auth,LoginActivity,doLogin,Long Statement
commons,fr.free.nrw.commons.auth,LoginActivity,onResponse,Long Statement
commons,fr.free.nrw.commons.auth,LoginActivity,afterTextChanged,Long Statement
commons,fr.free.nrw.commons.auth,LoginTextWatcher,afterTextChanged,Long Statement
commons,fr.free.nrw.commons.auth,LogoutClient,postLogout,Long Statement
commons,fr.free.nrw.commons.auth,SessionManager,createAccount,Complex Conditional
commons,fr.free.nrw.commons.auth,SessionManager,logout,Long Statement
commons,fr.free.nrw.commons.auth,WikiAccountAuthenticator,addAccount,Long Parameter List
commons,fr.free.nrw.commons.bookmarks,BookmarkListRootFragment,setFragment,Long Statement
commons,fr.free.nrw.commons.bookmarks,BookmarksPagerAdapter,BookmarksPagerAdapter,Long Statement
commons,fr.free.nrw.commons.bookmarks,BookmarksPagerAdapter,getMediaAdapter,Long Statement
commons,fr.free.nrw.commons.bookmarks,BookmarksPagerAdapter,requestPictureListUpdate,Long Statement
commons,fr.free.nrw.commons.bookmarks.locations,BookmarkLocationsContentProvider,query,Long Parameter List
commons,fr.free.nrw.commons.bookmarks.locations,BookmarkLocationsDao,findBookmarkLocation,Long Statement
commons,fr.free.nrw.commons.bookmarks.locations,BookmarkLocationsDao,fromCursor,Long Statement
commons,fr.free.nrw.commons.bookmarks.locations,BookmarkLocationsDao,onUpdate,Complex Method
commons,fr.free.nrw.commons.bookmarks.locations,BookmarkLocationsDao,onUpdate,Magic Number
commons,fr.free.nrw.commons.bookmarks.locations,Table,onUpdate,Complex Method
commons,fr.free.nrw.commons.bookmarks.locations,Table,onUpdate,Magic Number
commons,fr.free.nrw.commons.bookmarks.pictures,BookmarkPicturesContentProvider,query,Long Parameter List
commons,fr.free.nrw.commons.bookmarks.pictures,BookmarkPicturesController,loadBookmarkedPictures,Long Statement
commons,fr.free.nrw.commons.bookmarks.pictures,BookmarkPicturesDao,findBookmark,Long Statement
commons,fr.free.nrw.commons.bookmarks.pictures,BookmarkPicturesDao,fromCursor,Long Statement
commons,fr.free.nrw.commons.bookmarks.pictures,BookmarkPicturesDao,onUpdate,Magic Number
commons,fr.free.nrw.commons.bookmarks.pictures,Table,onUpdate,Magic Number
commons,fr.free.nrw.commons.bookmarks.pictures,BookmarkPicturesFragment,initList,Long Statement
commons,fr.free.nrw.commons.campaigns,CampaignsPresenter,getCampaigns,Long Statement
commons,fr.free.nrw.commons.campaigns,CampaignView,init,Long Statement
commons,fr.free.nrw.commons.campaigns,ViewHolder,init,Long Statement
commons,fr.free.nrw.commons.category,CategoryContentProvider,query,Long Parameter List
commons,fr.free.nrw.commons.category,CategoryContentProvider,query,Missing default
commons,fr.free.nrw.commons.category,CategoryContentProvider,insert,Missing default
commons,fr.free.nrw.commons.category,CategoryContentProvider,bulkInsert,Missing default
commons,fr.free.nrw.commons.category,CategoryContentProvider,update,Missing default
commons,fr.free.nrw.commons.category,CategoryDao,fromCursor,Long Statement
commons,fr.free.nrw.commons.category,CategoryDao,onUpdate,Magic Number
commons,fr.free.nrw.commons.category,Table,onUpdate,Magic Number
commons,fr.free.nrw.commons.category,CategoryDetailsActivity,onCreate,Magic Number
commons,fr.free.nrw.commons.category,CategoryDetailsActivity,onOptionsItemSelected,Missing default
commons,fr.free.nrw.commons.category,CategoryEditHelper,makeCategoryEdit,Long Statement
commons,fr.free.nrw.commons.category,CategoryEditHelper,showCategoryEditNotification,Long Statement
commons,fr.free.nrw.commons.category,CategoryEditSearchRecyclerViewAdapter,CategoryEditSearchRecyclerViewAdapter,Long Parameter List
commons,fr.free.nrw.commons.category,CategoryEditSearchRecyclerViewAdapter,getFilter,Magic Number
commons,fr.free.nrw.commons.category,CategoryEditSearchRecyclerViewAdapter,performFiltering,Magic Number
commons,fr.free.nrw.commons.concurrency,ExceptionAwareThreadPoolExecutor,afterExecute,Empty catch clause
commons,fr.free.nrw.commons.contributions,ContributionController,initiateCameraPick,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionController,setPickerConfiguration,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionController,handleActivityResult,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsFragment,onCreateView,Complex Conditional
commons,fr.free.nrw.commons.contributions,ContributionsFragment,onCreateView,Long Identifier
commons,fr.free.nrw.commons.contributions,ContributionsFragment,onCreateView,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsFragment,setNotificationCount,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsFragment,updateLimitedConnectionToggle,Long Identifier
commons,fr.free.nrw.commons.contributions,ContributionsFragment,onMenuItemClick,Long Identifier
commons,fr.free.nrw.commons.contributions,ContributionsFragment,showContributionsListFragment,Long Identifier
commons,fr.free.nrw.commons.contributions,ContributionsFragment,showMediaDetailPagerFragment,Long Identifier
commons,fr.free.nrw.commons.contributions,ContributionsFragment,initFragments,Long Identifier
commons,fr.free.nrw.commons.contributions,ContributionsFragment,showFragment,Long Identifier
commons,fr.free.nrw.commons.contributions,ContributionsFragment,setUploadCount,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsFragment,checkPermissionsAndShowNearbyCardView,Complex Conditional
commons,fr.free.nrw.commons.contributions,ContributionsFragment,checkPermissionsAndShowNearbyCardView,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsFragment,requestLocationPermission,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsFragment,showNearbyCardPermissionRationale,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsFragment,updateClosestNearbyCardViewInfo,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsFragment,updateNearbyNotification,Complex Conditional
commons,fr.free.nrw.commons.contributions,ContributionsFragment,retryUpload,Complex Conditional
commons,fr.free.nrw.commons.contributions,ContributionsFragment,retryUpload,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsFragment,backButtonClicked,Long Identifier
commons,fr.free.nrw.commons.contributions,ContributionsFragment,onClick,Long Identifier
commons,fr.free.nrw.commons.contributions,ContributionsListAdapter,onCreateViewHolder,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsListFragment,initRecyclerView,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsListFragment,onConfigurationChanged,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsListFragment,addImageToWikipedia,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsListPresenter,setup,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionsListPresenter,setup,Magic Number
commons,fr.free.nrw.commons.contributions,ContributionsPresenter,saveContribution,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionViewHolder,init,Complex Method
commons,fr.free.nrw.commons.contributions,ContributionViewHolder,init,Long Statement
commons,fr.free.nrw.commons.contributions,ContributionViewHolder,init,Magic Number
commons,fr.free.nrw.commons.contributions,ContributionViewHolder,checkIfMediaExistsOnWikipediaPage,Long Statement
commons,fr.free.nrw.commons.contributions,MainActivity,loadFragment,Complex Method
commons,fr.free.nrw.commons.contributions,MainActivity,setNumOfUploads,Long Statement
commons,fr.free.nrw.commons.contributions,MainActivity,onBackPressed,Complex Method
commons,fr.free.nrw.commons.contributions,MainActivity,onOptionsItemSelected,Missing default
commons,fr.free.nrw.commons.contributions,MainActivity,toggleLimitedConnectionMode,Long Statement
commons,fr.free.nrw.commons.delete,DeleteHelper,makeDeletion,Long Statement
commons,fr.free.nrw.commons.delete,DeleteHelper,delete,Long Statement
commons,fr.free.nrw.commons.delete,DeleteHelper,askReasonAndExecute,Long Parameter List
commons,fr.free.nrw.commons.delete,DeleteHelper,askReasonAndExecute,Long Statement
commons,fr.free.nrw.commons.delete,DeleteHelper,askReasonAndExecute,Magic Number
commons,fr.free.nrw.commons.delete,ReasonBuilder,prettyUploadedDate,Complex Conditional
commons,fr.free.nrw.commons.delete,ReasonBuilder,fetchArticleNumber,Long Statement
commons,fr.free.nrw.commons.di,ApplicationlessInjection,ApplicationlessInjection,Long Statement
commons,fr.free.nrw.commons.di,CommonsApplicationModule,provideLruCache,Magic Number
commons,fr.free.nrw.commons.di,CommonsApplicationModule,provideAppDataBase,Long Statement
commons,fr.free.nrw.commons.di,CommonsDaggerSupportFragment,inject,Long Statement
commons,fr.free.nrw.commons.di,NetworkingModule,provideOkHttpClient,Long Statement
commons,fr.free.nrw.commons.di,NetworkingModule,provideOkHttpClient,Magic Number
commons,fr.free.nrw.commons.di,NetworkingModule,provideOkHttpJsonApiClient,Long Parameter List
commons,fr.free.nrw.commons.di,NetworkingModule,provideOkHttpJsonApiClient,Long Statement
commons,fr.free.nrw.commons.di,NetworkingModule,providePageMediaInterface,Long Identifier
commons,fr.free.nrw.commons.di,NetworkingModule,provideLanguageWikipediaSite,Long Identifier
commons,fr.free.nrw.commons.explore.depictions,WikidataItemDetailsActivity,onCreate,Magic Number
commons,fr.free.nrw.commons.explore.depictions,WikidataItemDetailsActivity,setTabs,Magic Number
commons,fr.free.nrw.commons.explore.depictions,WikidataItemDetailsActivity,onMediaClicked,Long Statement
commons,fr.free.nrw.commons.explore.depictions,WikidataItemDetailsActivity,onOptionsItemSelected,Missing default
commons,fr.free.nrw.commons.explore,ExploreFragment,onOptionsItemSelected,Missing default
commons,fr.free.nrw.commons.explore,ExploreListRootFragment,setFragment,Long Statement
commons,fr.free.nrw.commons.explore,SearchActivity,onCreate,Magic Number
commons,fr.free.nrw.commons.explore,SearchActivity,setTabs,Long Statement
commons,fr.free.nrw.commons.explore,SearchActivity,setTabs,Magic Number
commons,fr.free.nrw.commons.explore,SearchActivity,onMediaClicked,Long Statement
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesContentProvider,query,Long Parameter List
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesContentProvider,query,Missing default
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesContentProvider,insert,Missing default
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesContentProvider,delete,Missing default
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesContentProvider,bulkInsert,Missing default
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesContentProvider,update,Missing default
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesDao,deleteAll,Long Statement
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesDao,find,Long Statement
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesDao,recentSearches,Long Statement
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesDao,fromCursor,Long Statement
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesDao,onUpdate,Magic Number
commons,fr.free.nrw.commons.explore.recentsearches,Table,onUpdate,Magic Number
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesFragment,onCreateView,Long Statement
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesFragment,onCreateView,Magic Number
commons,fr.free.nrw.commons.explore.recentsearches,RecentSearchesFragment,updateRecentSearches,Magic Number
commons,fr.free.nrw.commons.filepicker,FilePicker,createGalleryIntent,Long Statement
commons,fr.free.nrw.commons.filepicker,FilePicker,grantWritePermission,Long Statement
commons,fr.free.nrw.commons.filepicker,FilePicker,handleActivityResult,Complex Conditional
commons,fr.free.nrw.commons.filepicker,FilePicker,handleActivityResult,Complex Method
commons,fr.free.nrw.commons.filepicker,FilePicker,handleActivityResult,Long Parameter List
commons,fr.free.nrw.commons.filepicker,FilePicker,handleActivityResult,Long Statement
commons,fr.free.nrw.commons.filepicker,FilePicker,onPictureReturnedFromCamera,Long Statement
commons,fr.free.nrw.commons.filepicker,FilePicker,onVideoReturnedFromCamera,Long Statement
commons,fr.free.nrw.commons.filepicker,FilePickerConfiguration,setAllowMultiplePickInGallery,Long Statement
commons,fr.free.nrw.commons.filepicker,PickedFiles,writeToFile,Magic Number
commons,fr.free.nrw.commons.filepicker,PickedFiles,copyFilesInSeparateThread,Long Statement
commons,fr.free.nrw.commons.kvstore,BasicKvStore,BasicKvStore,Long Statement
commons,fr.free.nrw.commons.kvstore,JsonKvStore,JsonKvStore,Long Parameter List
commons,fr.free.nrw.commons.location,LatLng,LatLng,Magic Number
commons,fr.free.nrw.commons.location,LatLng,hashCode,Magic Number
commons,fr.free.nrw.commons.location,LatLng,equals,Long Statement
commons,fr.free.nrw.commons.location,LatLng,formatCoordinate,Magic Number
commons,fr.free.nrw.commons.location,LatLng,getEastWest,Magic Number
commons,fr.free.nrw.commons.location,LatLng,getPrettyCoordinateString,Long Statement
commons,fr.free.nrw.commons.location,LocationServiceManager,getLastKnownLocation,Long Statement
commons,fr.free.nrw.commons.location,LocationServiceManager,registerLocationManager,Long Statement
commons,fr.free.nrw.commons.location,LocationServiceManager,requestLocationUpdatesFromProvider,Long Identifier
commons,fr.free.nrw.commons.location,LocationServiceManager,requestLocationUpdatesFromProvider,Long Statement
commons,fr.free.nrw.commons.location,LocationServiceManager,isBetterLocation,Complex Conditional
commons,fr.free.nrw.commons.location,LocationServiceManager,isBetterLocation,Long Identifier
commons,fr.free.nrw.commons.location,LocationServiceManager,isBetterLocation,Long Statement
commons,fr.free.nrw.commons.location,LocationServiceManager,isBetterLocation,Magic Number
commons,fr.free.nrw.commons.location,LocationServiceManager,onLocationChanged,Magic Number
commons,fr.free.nrw.commons.logging,CommonsLogSender,CommonsLogSender,Long Identifier
commons,fr.free.nrw.commons.logging,FileLoggingTree,FileLoggingTree,Long Parameter List
commons,fr.free.nrw.commons.logging,FileLoggingTree,configureLogger,Magic Number
commons,fr.free.nrw.commons.logging,LogsSender,writeLogToZipFile,Magic Number
commons,fr.free.nrw.commons.media,CustomOkHttpNetworkFetcher,getExtraMap,Magic Number
commons,fr.free.nrw.commons.media,CustomOkHttpNetworkFetcher,fetchWithRequest,Complex Conditional
commons,fr.free.nrw.commons.media,CustomOkHttpNetworkFetcher,onResponse,Complex Conditional
commons,fr.free.nrw.commons.media,MediaDetailFragment,onResume,Long Identifier
commons,fr.free.nrw.commons.media,MediaDetailFragment,onResume,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,displayMediaDetails,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,onMediaRefreshed,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,setupImageView,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,setupToDo,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,setupToDo,Magic Number
commons,fr.free.nrw.commons.media,MediaDetailFragment,updateToDoWarning,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,setTextFields,Long Identifier
commons,fr.free.nrw.commons.media,MediaDetailFragment,buildDepictionList,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,onUpdateCategoriesClicked,Long Identifier
commons,fr.free.nrw.commons.media,MediaDetailFragment,updateCategories,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,onDeleteButtonClicked,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,onDeleteButtonClicked,Magic Number
commons,fr.free.nrw.commons.media,MediaDetailFragment,onDeleteClicked,Long Statement
commons,fr.free.nrw.commons.media,MediaDetailFragment,onDeleteClickeddialogtext,Long Statement
