Project Name,Package Name,Type Name,Code Smell
AndroidGodEye,cn.hikyson.godeye.core.exceptions,UnexpectException,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.exceptions,UninstallException,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core,GodEye,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core,GodEye,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core,InstanceHolder,Unnecessary Abstraction
AndroidGodEye,cn.hikyson.godeye.core,InstanceHolder,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core,GodEyeConfig,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core,GodEyeConfig,Insufficient Modularization
AndroidGodEye,cn.hikyson.godeye.core,GodEyeConfig,Hub-like Modularization
AndroidGodEye,cn.hikyson.godeye.core,GodEyeConfigBuilder,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core,GodEyeConfigBuilder,Insufficient Modularization
AndroidGodEye,cn.hikyson.godeye.core,GodEyeConfigTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core,GodEyeHelperTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core,GodEyeHelperTest,Insufficient Modularization
AndroidGodEye,cn.hikyson.godeye.core,GodEyeInitContentProviderTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core,GodEyeTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.helper,CrashStore,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.helper,RxModule,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.helper,AndroidDebugTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.helper,NotifierTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.helper,RoboTestApplication,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.helper,RoboTestApplication,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.helper,Test3Activity,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.helper,TestPageEvent,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.helper,TestPageEvent,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal,Engine,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal,ProduceableSubject,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal,SubjectSupport,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.appsize,AppSize,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.appsize,AppSizeConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.appsize,AppSizeInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.appsize,AppSizeTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.appsize,AppSizeUtilTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.battery,Battery,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.battery,BatteryIntentFilterHolder,Unnecessary Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.battery,BatteryInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.battery,BatteryTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.cpu,Cpu,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.cpu,CpuConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.cpu,CpuInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.cpu,CpuSnapshot,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.cpu,CpuTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.cpu,CpuUsageTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.crash,Crash,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.crash,CrashConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.crash,CrashConstant,Unnecessary Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.crash,CrashConstant,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.crash,CrashInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.crash,CrashTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.fps,Fps,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.fps,FpsConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.fps,FpsInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.fps,FpsTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.imagecanary,BitmapInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.imagecanary,DefaultBitmapInfoAnalyzer,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.imagecanary,ImageCanary,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.imagecanary,ImageCanaryConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.imagecanary,ImageCanaryInternal,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.imagecanary,ImageIssue,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.imagecanary,ImageCanaryInternalTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.imagecanary,ImageCanaryTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,DefaultLeakRefInfoProvider,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,LeakConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,LeakDetector,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,InstanceHolder,Unnecessary Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,InstanceHolder,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,LeakInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,LeakQueue,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,LeakQueue,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,LeakMemoryInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,InstanceHolder,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,LeakRefInfoProvider,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.leakdetector,LeakDetectorTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,Heap,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,HeapConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,HeapInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,NativeHeapInfo,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,NativeHeapInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,Pss,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,PssConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,PssInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,Ram,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,RamConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,RamInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,HeapTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,MemoryUtilTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,PssTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.memory,RamTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.methodcanary,MethodCanaryConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.methodcanary,MethodsRecordInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.methodcanary,MethodInfoOfThreadInfo,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.methodcanary,MethodInfoOfThreadInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.methodcanary,MethodInfo,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.methodcanary,MethodInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.methodcanary,MethodCanaryTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.network,Network,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.network,NetworkInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.network,NetworkTime,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.network,NetworkTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,FragmentLifecycleCallbacks,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,FragmentLifecycleCallbacksV4,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,PageDrawMonitor,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,PageInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,PageLifecycleEventInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,PageLifecycleEventWithTime,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,Pageload,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,PageloadConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,PageLifecycleMethodEventTypesTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.pageload,PageloadTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.sm,BlockInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.sm,SmConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.sm,SmTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.sm.core,AbstractSampler,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.sm.core,LongBlockInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.sm.core,LooperMonitor,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.sm.core,BlockListener,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.sm.core,MemoryInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.sm.core,ShortBlockInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.startup,Startup,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.startup,StartupInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.startup,StartupTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.thread,SimpleThreadFilter,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.thread,ThreadConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.thread,ThreadDump,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.thread,ThreadInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.thread,ThreadGroup,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.thread,ThreadDumpTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.traffic,Traffic,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.traffic,TrafficConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.traffic,TrafficInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.traffic,TrafficSnapshot,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.traffic,TrafficTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary.levenshtein,ViewIdWithSize,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewCanary,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewCanaryConfig,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewCanaryInternal,Cyclic-Dependent Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewIssueInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewIssueInfo,Broken Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewInfo,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewInfo,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewInfo,Broken Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,OverDrawArea,Unnecessary Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,OverDrawArea,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,OverDrawArea,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewCanaryInternalTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.modules.viewcanary,ViewCanaryTest,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.notification,DefaultNotificationConfig,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.notification,DefaultNotificationConfig,Insufficient Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.notification,LocalNotificationListener,Unutilized Abstraction
AndroidGodEye,cn.hikyson.godeye.core.internal.notification,NotificationConfig,Insufficient Modularization
AndroidGodEye,cn.hikyson.godeye.core.internal.notification,NotificationContent,Deficient Encapsulation
AndroidGodEye,cn.hikyson.godeye.core.internal.notification,NotificationObserver,Cyclic-Dependent Modularization
