Project Name,Package Name,Type Name,Code Smell
Signal-Android,org.thoughtcrime.securesms.lock,PinHashing_hashPin_Test,Unutilized Abstraction
Signal-Android,org.thoughtcrime.securesms.lock,PinHashing,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.lock,RegistrationLockReminders,Deficient Encapsulation
Signal-Android,org.thoughtcrime.securesms.lock,RegistrationLockReminders,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.lock,SignalPinReminderDialog,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.lock,V2PinVerifier,Unutilized Abstraction
Signal-Android,org.thoughtcrime.securesms.lock,Callback,Unutilized Abstraction
Signal-Android,org.thoughtcrime.securesms.lock,SignalPinReminders,Deficient Encapsulation
Signal-Android,org.thoughtcrime.securesms.util,FeatureFlagsAccessor,Unutilized Abstraction
Signal-Android,org.thoughtcrime.securesms.util,AbstractCursorLoader,Unutilized Abstraction
Signal-Android,org.thoughtcrime.securesms.util,AlarmSleepTimer,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.util,AlarmReceiver,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.util,WorkerThread,Unutilized Abstraction
Signal-Android,org.thoughtcrime.securesms.util,AsyncLoader,Unutilized Abstraction
Signal-Android,org.thoughtcrime.securesms.util,AttachmentUtil,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.util,AvatarUtil,Deficient Encapsulation
Signal-Android,org.thoughtcrime.securesms.util,AvatarUtil,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.util,BackupUtil,Deficient Encapsulation
Signal-Android,org.thoughtcrime.securesms.util,BackupUtil,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.util,BackupFileException,Unutilized Abstraction
Signal-Android,org.thoughtcrime.securesms.util,BackupInfo,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.util,BitmapDecodingException,Unutilized Abstraction
Signal-Android,org.thoughtcrime.securesms.util,BitmapUtil,Cyclic-Dependent Modularization
Signal-Android,org.thoughtcrime.securesms.util,BitmapUtil,Insufficient Modularization
