Project Name,Package Name,Type Name,Code Smell
termux-app,com.termux.app.activities,HelpActivity,Unutilized Abstraction
termux-app,com.termux.app.activities,SettingsActivity,Unutilized Abstraction
termux-app,com.termux.app.activities,RootPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.api.file,FileReceiverActivity,Cyclic-Dependent Modularization
termux-app,com.termux.app.api.file,FileReceiverActivityTest,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings.termux,TerminalIOPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings.termux,TerminalViewPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings,TermuxAPIPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings,TermuxFloatPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings,TermuxPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings,TermuxTaskerPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings,TermuxWidgetPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings.termux_api,DebuggingPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings.termux_float,DebuggingPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings.termux_tasker,DebuggingPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app.fragments.settings.termux_widget,DebuggingPreferencesFragment,Unutilized Abstraction
termux-app,com.termux.app,RunCommandService,Deficient Encapsulation
termux-app,com.termux.app,LocalBinder,Unnecessary Abstraction
termux-app,com.termux.app,LocalBinder,Unutilized Abstraction
termux-app,com.termux.app,LocalBinder,Deficient Encapsulation
termux-app,com.termux.app,TermuxActivity,Cyclic-Dependent Modularization
termux-app,com.termux.app,TermuxActivity,Insufficient Modularization
termux-app,com.termux.app,TermuxActivityBroadcastReceiver,Unutilized Abstraction
termux-app,com.termux.app,TermuxOpenReceiver,Unutilized Abstraction
termux-app,com.termux.app,ContentProvider,Unutilized Abstraction
termux-app,com.termux.app,TermuxService,Deficient Encapsulation
termux-app,com.termux.app,TermuxService,Cyclic-Dependent Modularization
termux-app,com.termux.app,TermuxService,Insufficient Modularization
termux-app,com.termux.app,TermuxActivityTest,Unutilized Abstraction
termux-app,com.termux.app.terminal.io,KeyboardShortcut,Deficient Encapsulation
termux-app,com.termux.app.terminal.io,TerminalToolbarViewPager,Unutilized Abstraction
termux-app,com.termux.app.terminal.io,PageAdapter,Unutilized Abstraction
termux-app,com.termux.app.terminal.io,OnPageChangeListener,Unutilized Abstraction
termux-app,com.termux.app.terminal.io,TermuxTerminalExtraKeys,Cyclic-Dependent Modularization
termux-app,com.termux.app.terminal,TermuxActivityRootView,Deficient Encapsulation
termux-app,com.termux.app.terminal,TermuxActivityRootView,Cyclic-Dependent Modularization
termux-app,com.termux.app.terminal,WindowInsetsListener,Unutilized Abstraction
termux-app,com.termux.app.terminal,TermuxSessionsListViewController,Cyclic-Dependent Modularization
termux-app,com.termux.app.terminal,TermuxTerminalSessionActivityClient,Cyclic-Dependent Modularization
termux-app,com.termux.app.terminal,TermuxTerminalSessionActivityClient,Insufficient Modularization
termux-app,com.termux.app.terminal,TermuxTerminalSessionServiceClient,Cyclic-Dependent Modularization
termux-app,com.termux.app.terminal,TermuxTerminalViewClient,Cyclic-Dependent Modularization
termux-app,com.termux.app.terminal,TermuxTerminalViewClient,Insufficient Modularization
termux-app,com.termux.terminal,KeyHandler,Imperative Abstraction
termux-app,com.termux.terminal,KeyHandler,Deficient Encapsulation
termux-app,com.termux.terminal,Logger,Cyclic-Dependent Modularization
termux-app,com.termux.terminal,TerminalBuffer,Insufficient Modularization
termux-app,com.termux.terminal,TerminalColors,Deficient Encapsulation
termux-app,com.termux.terminal,TerminalColors,Cyclic-Dependent Modularization
termux-app,com.termux.terminal,TerminalColorScheme,Deficient Encapsulation
termux-app,com.termux.terminal,TerminalColorScheme,Cyclic-Dependent Modularization
termux-app,com.termux.terminal,TerminalEmulator,Deficient Encapsulation
termux-app,com.termux.terminal,TerminalEmulator,Cyclic-Dependent Modularization
termux-app,com.termux.terminal,TerminalEmulator,Insufficient Modularization
termux-app,com.termux.terminal,SavedScreenState,Broken Modularization
termux-app,com.termux.terminal,TerminalRow,Deficient Encapsulation
termux-app,com.termux.terminal,TerminalSession,Deficient Encapsulation
termux-app,com.termux.terminal,TerminalSession,Cyclic-Dependent Modularization
termux-app,com.termux.terminal,TerminalSession,Insufficient Modularization
termux-app,com.termux.terminal,MainThreadHandler,Unutilized Abstraction
termux-app,com.termux.terminal,TerminalSessionClient,Cyclic-Dependent Modularization
termux-app,com.termux.terminal,TextStyle,Deficient Encapsulation
termux-app,com.termux.terminal,ControlSequenceIntroducerTest,Unutilized Abstraction
termux-app,com.termux.terminal,ControlSequenceIntroducerTest,Broken Hierarchy
termux-app,com.termux.terminal,CursorAndScreenTest,Unutilized Abstraction
termux-app,com.termux.terminal,CursorAndScreenTest,Broken Hierarchy
termux-app,com.termux.terminal,DecSetTest,Unutilized Abstraction
termux-app,com.termux.terminal,DecSetTest,Broken Hierarchy
termux-app,com.termux.terminal,DeviceControlStringTest,Broken Hierarchy
termux-app,com.termux.terminal,HistoryTest,Unutilized Abstraction
termux-app,com.termux.terminal,HistoryTest,Broken Hierarchy
termux-app,com.termux.terminal,OperatingSystemControlTest,Unutilized Abstraction
termux-app,com.termux.terminal,OperatingSystemControlTest,Broken Hierarchy
termux-app,com.termux.terminal,RectangularAreasTest,Unutilized Abstraction
termux-app,com.termux.terminal,RectangularAreasTest,Broken Hierarchy
termux-app,com.termux.terminal,ResizeTest,Unutilized Abstraction
termux-app,com.termux.terminal,ResizeTest,Broken Hierarchy
termux-app,com.termux.terminal,ScreenBufferTest,Unutilized Abstraction
