Project Name,Package Name,Type Name,Code Smell
pslab,io.pslab.activity,MapsActivity,Unutilized Abstraction
pslab,io.pslab.activity,AccelerometerActivity,Deficient Encapsulation
pslab,io.pslab.activity,AccelerometerActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,BarometerActivity,Deficient Encapsulation
pslab,io.pslab.activity,BarometerActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,CompassActivity,Deficient Encapsulation
pslab,io.pslab.activity,CompassActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,ControlActivity,Unutilized Abstraction
pslab,io.pslab.activity,CreateConfigActivity,Unutilized Abstraction
pslab,io.pslab.activity,DataLoggerActivity,Deficient Encapsulation
pslab,io.pslab.activity,DataLoggerActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,DeleteAllTask,Unutilized Abstraction
pslab,io.pslab.activity,DustSensorActivity,Deficient Encapsulation
pslab,io.pslab.activity,DustSensorActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,GasSensorActivity,Deficient Encapsulation
pslab,io.pslab.activity,GasSensorActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,GyroscopeActivity,Deficient Encapsulation
pslab,io.pslab.activity,GyroscopeActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,LogicalAnalyzerActivity,Deficient Encapsulation
pslab,io.pslab.activity,LogicalAnalyzerActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,LuxMeterActivity,Deficient Encapsulation
pslab,io.pslab.activity,LuxMeterActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,MainActivity,Deficient Encapsulation
pslab,io.pslab.activity,MainActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,MultimeterActivity,Unutilized Abstraction
pslab,io.pslab.activity,MultimeterActivity,Deficient Encapsulation
pslab,io.pslab.activity,OscilloscopeActivity,Deficient Encapsulation
pslab,io.pslab.activity,OscilloscopeActivity,Insufficient Modularization
pslab,io.pslab.activity,PowerSourceActivity,Deficient Encapsulation
pslab,io.pslab.activity,PowerSourceActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,PowerSourceActivity,Insufficient Modularization
pslab,io.pslab.activity,RoboticArmActivity,Insufficient Modularization
pslab,io.pslab.activity,SensorActivity,Unutilized Abstraction
pslab,io.pslab.activity,SensorActivity,Deficient Encapsulation
pslab,io.pslab.activity,PopulateSensors,Unutilized Abstraction
pslab,io.pslab.activity,SensorDataLoggerActivity,Unutilized Abstraction
pslab,io.pslab.activity,SettingsActivity,Unutilized Abstraction
pslab,io.pslab.activity,ShowLoggedData,Unutilized Abstraction
pslab,io.pslab.activity,SoundMeterActivity,Deficient Encapsulation
pslab,io.pslab.activity,SoundMeterActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,ThermometerActivity,Deficient Encapsulation
pslab,io.pslab.activity,ThermometerActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,WaveGeneratorActivity,Deficient Encapsulation
pslab,io.pslab.activity,WaveGeneratorActivity,Cyclic-Dependent Modularization
pslab,io.pslab.activity,WaveGeneratorActivity,Insufficient Modularization
pslab,io.pslab.activity,ProduceSoundTask,Cyclic-Dependent Modularization
pslab,io.pslab.adapters,ControlMainAdapter,Insufficient Modularization
pslab,io.pslab.adapters,ViewHolder,Unutilized Abstraction
pslab,io.pslab.adapters,SensorLoggerListAdapter,Cyclic-Dependent Modularization
pslab,io.pslab.adapters,SensorLoggerListAdapter,Insufficient Modularization
pslab,io.pslab,DataFormatter,Deficient Encapsulation
pslab,io.pslab,InputMinMaxFilter,Unutilized Abstraction
pslab,io.pslab,PSLabApplication,Unutilized Abstraction
pslab,io.pslab,SearchModel,Unutilized Abstraction
pslab,io.pslab.communication.analogChannel,AnalogAquisitionChannel,Unutilized Abstraction
pslab,io.pslab.communication.analogChannel,AnalogAquisitionChannel,Deficient Encapsulation
pslab,io.pslab.communication.analogChannel,AnalogConstants,Deficient Encapsulation
pslab,io.pslab.communication.analogChannel,AnalogInputSource,Deficient Encapsulation
pslab,io.pslab.communication,AnalyticsClass,Deficient Encapsulation
pslab,io.pslab.communication,AnalyticsClass,Insufficient Modularization
pslab,io.pslab.communication,CommandsProto,Deficient Encapsulation
pslab,io.pslab.communication,CommunicationHandler,Deficient Encapsulation
pslab,io.pslab.communication,PacketHandler,Deficient Encapsulation
pslab,io.pslab.communication,PacketHandler,Cyclic-Dependent Modularization
pslab,io.pslab.communication,ScienceLab,Deficient Encapsulation
pslab,io.pslab.communication,ScienceLab,Cyclic-Dependent Modularization
