Project Name,Package Name,Type Name,Method Name,Code Smell
cgeo,cgeo.contacts,ContactsActivity,searchUser,Long Statement
cgeo,cgeo.contacts,ContactsActivity,getContacts,Long Parameter List
cgeo,cgeo.contacts,ContactsActivity,getContacts,Long Statement
cgeo,cgeo.contacts,ContactsActivity,getContacts,Magic Number
cgeo,cgeo.contacts,ContactsActivity,showToast,Magic Number
cgeo,cgeo.contacts,ContactsAddon,openContactCard,Long Statement
cgeo,cgeo.contacts.permission,PermissionHandler,askAgainForContacts,Long Statement
cgeo,(default package),GenerateAttributes,writeHeader,Long Statement
cgeo,(default package),GenerateAttributes,writeAttr,Long Statement
cgeo,(default package),GenerateAttributes,writeAttr,Magic Number
cgeo,(default package),GenerateAttributes,parseAttributes,Complex Conditional
cgeo,(default package),GenerateAttributes,parseAttributes,Complex Method
cgeo,(default package),GenerateAttributes,parseAttributes,Long Statement
cgeo,(default package),GenerateAttributes,startElement,Complex Conditional
cgeo,(default package),GenerateAttributes,startElement,Complex Method
cgeo,cgeo.geocaching,AboutActivity,setText,Long Statement
cgeo,cgeo.geocaching,AboutActivity,getDispatchedView,Long Statement
cgeo,cgeo.geocaching,AboutActivity,onCreate,Long Statement
cgeo,cgeo.geocaching,ContributorsViewCreator,setText,Long Statement
cgeo,cgeo.geocaching,ChangeLogViewCreator,getDispatchedView,Long Statement
cgeo,cgeo.geocaching,SystemViewCreator,getDispatchedView,Long Statement
cgeo,cgeo.geocaching,VersionViewCreator,getDispatchedView,Long Statement
cgeo,cgeo.geocaching,AbstractDialogFragment,onResume,Long Statement
cgeo,cgeo.geocaching,AbstractDialogFragment,addCacheDetails,Long Statement
cgeo,cgeo.geocaching,AbstractDialogFragment,addCacheDetails,Magic Number
cgeo,cgeo.geocaching,AbstractDialogFragment,onPrepareOptionsMenu,Empty catch clause
cgeo,cgeo.geocaching,AbstractDialogFragment,cachesAround,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,onCreate,Complex Conditional
cgeo,cgeo.geocaching,CacheDetailActivity,onCreate,Complex Method
cgeo,cgeo.geocaching,CacheDetailActivity,onCreate,Empty catch clause
cgeo,cgeo.geocaching,CacheDetailActivity,onCreate,Long Method
cgeo,cgeo.geocaching,CacheDetailActivity,onCreate,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,onCreate,Magic Number
cgeo,cgeo.geocaching,CacheDetailActivity,onResume,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,onCreateContextMenu,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,onContextItemSelected,Complex Method
cgeo,cgeo.geocaching,CacheDetailActivity,onContextItemSelected,Long Method
cgeo,cgeo.geocaching,CacheDetailActivity,onContextItemSelected,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,setMenuPreventWaypointsFromNote,Long Identifier
cgeo,cgeo.geocaching,CacheDetailActivity,setMenuPreventWaypointsFromNote,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,onPrepareOptionsMenu,Long Identifier
cgeo,cgeo.geocaching,CacheDetailActivity,onPrepareOptionsMenu,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,onOptionsItemSelected,Complex Method
cgeo,cgeo.geocaching,CacheDetailActivity,onOptionsItemSelected,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,ignoreCache,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,updateGeoData,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,handleRegularMessage,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,startDefaultNavigation2,Magic Number
cgeo,cgeo.geocaching,CacheDetailActivity,refreshCache,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,dropCache,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,storeCache,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,getDispatchedView,Complex Method
cgeo,cgeo.geocaching,CacheDetailActivity,getDispatchedView,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,onClick,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,updateFavPointBox,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,updateFavPointBox,Magic Number
cgeo,cgeo.geocaching,CacheDetailActivity,getDispatchedView,Long Method
cgeo,cgeo.geocaching,CacheDetailActivity,uploadPersonalNote,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,loadLongDescription,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,loadLongDescription,Magic Number
cgeo,cgeo.geocaching,CacheDetailActivity,warnPersonalNoteExceedsLimit,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,loadDescription,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,addWarning,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,fixTextColor,Magic Number
cgeo,cgeo.geocaching,CacheDetailActivity,potentiallyHideShortDescription,Magic Number
cgeo,cgeo.geocaching,CacheDetailActivity,fillViewHolder,Complex Method
cgeo,cgeo.geocaching,CacheDetailActivity,fillViewHolder,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,fillViewHolder,Magic Number
cgeo,cgeo.geocaching,CacheDetailActivity,setWaypointIcon,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,addContextMenu,Complex Method
cgeo,cgeo.geocaching,CacheDetailActivity,prepareClipboardActionMode,Complex Method
cgeo,cgeo.geocaching,CacheDetailActivity,createResetCacheCoordinatesDialog,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,handleMessage,Complex Conditional
cgeo,cgeo.geocaching,CacheDetailActivity,resetCoords,Long Parameter List
cgeo,cgeo.geocaching,CacheDetailActivity,createViewCreator,Complex Method
cgeo,cgeo.geocaching,CacheDetailActivity,setOfflineHintText,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,updateOfflineBox,Long Parameter List
cgeo,cgeo.geocaching,CacheDetailActivity,updateOfflineBox,Long Statement
cgeo,cgeo.geocaching,CacheDetailActivity,removeWaypointsFromPersonalNote,Long Statement
cgeo,cgeo.geocaching,CacheDetailsGeoDirHandler,updateGeoData,Long Statement
cgeo,cgeo.geocaching,LoadCacheHandler,handleRegularMessage,Long Statement
cgeo,cgeo.geocaching,DetailsViewCreator,getDispatchedView,Complex Method
cgeo,cgeo.geocaching,DetailsViewCreator,getDispatchedView,Long Statement
cgeo,cgeo.geocaching,DetailsViewCreator,onClick,Long Statement
cgeo,cgeo.geocaching,DetailsViewCreator,updateFavPointBox,Long Statement
cgeo,cgeo.geocaching,DetailsViewCreator,updateFavPointBox,Magic Number
cgeo,cgeo.geocaching,AddToWatchlistClickListener,onClick,Long Statement
cgeo,cgeo.geocaching,RemoveFromWatchlistClickListener,onClick,Long Statement
cgeo,cgeo.geocaching,FavoriteAddClickListener,onClick,Long Statement
cgeo,cgeo.geocaching,FavoriteRemoveClickListener,onClick,Long Statement
cgeo,cgeo.geocaching,DescriptionViewCreator,getDispatchedView,Complex Method
cgeo,cgeo.geocaching,DescriptionViewCreator,getDispatchedView,Long Method
cgeo,cgeo.geocaching,DescriptionViewCreator,getDispatchedView,Long Statement
cgeo,cgeo.geocaching,DescriptionViewCreator,uploadPersonalNote,Long Statement
cgeo,cgeo.geocaching,DescriptionViewCreator,loadLongDescription,Long Statement
cgeo,cgeo.geocaching,DescriptionViewCreator,loadLongDescription,Magic Number
cgeo,cgeo.geocaching,DescriptionViewCreator,warnPersonalNoteExceedsLimit,Long Statement
cgeo,cgeo.geocaching,DescriptionViewCreator,loadDescription,Long Statement
cgeo,cgeo.geocaching,WaypointsViewCreator,getDispatchedView,Complex Method
cgeo,cgeo.geocaching,WaypointsViewCreator,getDispatchedView,Long Statement
cgeo,cgeo.geocaching,WaypointsViewCreator,fillViewHolder,Complex Method
cgeo,cgeo.geocaching,WaypointsViewCreator,fillViewHolder,Long Statement
cgeo,cgeo.geocaching,WaypointsViewCreator,fillViewHolder,Magic Number
cgeo,cgeo.geocaching,WaypointsViewCreator,setWaypointIcon,Long Statement
cgeo,cgeo.geocaching,InventoryViewCreator,getDispatchedView,Long Statement
cgeo,cgeo.geocaching,HandlerResetCoordinates,handleMessage,Complex Conditional
cgeo,cgeo.geocaching,CacheListActivity,handleRegularMessage,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,handleRegularMessage,Magic Number
cgeo,cgeo.geocaching,CacheListActivity,handleRegularMessage,Missing default
cgeo,cgeo.geocaching,CacheListActivity,onCreate,Complex Method
cgeo,cgeo.geocaching,CacheListActivity,onCreate,Long Identifier
cgeo,cgeo.geocaching,CacheListActivity,onCreate,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,onSaveInstanceState,Long Identifier
cgeo,cgeo.geocaching,CacheListActivity,isConcreteList,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,importGpxAttachement,Long Identifier
cgeo,cgeo.geocaching,CacheListActivity,onResume,Complex Conditional
cgeo,cgeo.geocaching,CacheListActivity,onResume,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,onResume,Magic Number
cgeo,cgeo.geocaching,CacheListActivity,executeAfter,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,executeAfter,Magic Number
cgeo,cgeo.geocaching,CacheListActivity,onCreateOptionsMenu,Complex Conditional
cgeo,cgeo.geocaching,CacheListActivity,onCreateOptionsMenu,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,onPrepareOptionsMenu,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,setCacheIcons,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,onOptionsItemSelected,Complex Method
cgeo,cgeo.geocaching,CacheListActivity,onOptionsItemSelected,Long Method
cgeo,cgeo.geocaching,CacheListActivity,onOptionsItemSelected,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,checkIfEmptyAndRemoveAfterConfirm,Complex Conditional
cgeo,cgeo.geocaching,CacheListActivity,checkIfEmptyAndRemoveAfterConfirm,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,clearOfflineLogs,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,showGeocacheFilterMenu,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,onContextItemSelected,Complex Method
cgeo,cgeo.geocaching,CacheListActivity,initAdapter,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,showFooterMoreCaches,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,importGpx,Long Identifier
cgeo,cgeo.geocaching,CacheListActivity,onActivityResult,Long Identifier
cgeo,cgeo.geocaching,CacheListActivity,refreshStoredConfirmed,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,refreshStoredInternal,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,refreshStoredInternal,Magic Number
cgeo,cgeo.geocaching,CacheListActivity,removeFromHistoryCheck,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,importWeb,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,loadDetails,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,removeWillDeleteFromDevice,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,onClick,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,switchListById,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,removeList,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,onCreateLoader,Complex Conditional
cgeo,cgeo.geocaching,CacheListActivity,onCreateLoader,Complex Method
cgeo,cgeo.geocaching,CacheListActivity,onCreateLoader,Long Method
cgeo,cgeo.geocaching,CacheListActivity,onCreateLoader,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,getCurrentSubtitle,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,resultIsOfflineAndLimited,Long Statement
cgeo,cgeo.geocaching,CacheListActivity,getOfflineListLimitIncrease,Magic Number
cgeo,cgeo.geocaching,LoadDetailsHandler,handleRegularMessage,Long Statement
cgeo,cgeo.geocaching,LoadDetailsHandler,handleRegularMessage,Magic Number
cgeo,cgeo.geocaching,DownloadFromWebHandler,handleRegularMessage,Missing default
cgeo,cgeo.geocaching,MoreCachesListener,onClick,Long Statement
cgeo,cgeo.geocaching,CacheMenuHandler,onMenuItemSelected,Complex Method
cgeo,cgeo.geocaching,CacheMenuHandler,onMenuItemSelected,Long Statement
cgeo,cgeo.geocaching,CacheMenuHandler,setFoundState,Long Parameter List
cgeo,cgeo.geocaching,CacheMenuHandler,onPrepareOptionsMenu,Long Statement
cgeo,cgeo.geocaching,CachePopupFragment,init,Long Statement
cgeo,cgeo.geocaching,CachePopupFragment,selectListsAndStore,Long Statement
cgeo,cgeo.geocaching,CachePopupFragment,storeCacheOnLists,Long Statement
cgeo,cgeo.geocaching,CachePopupFragment,onClick,Long Statement
cgeo,cgeo.geocaching,CachePopupFragment,startDefaultNavigation2,Magic Number
cgeo,cgeo.geocaching,StoreCacheClickListener,selectListsAndStore,Long Statement
cgeo,cgeo.geocaching,StoreCacheClickListener,storeCacheOnLists,Long Statement
cgeo,cgeo.geocaching,RefreshCacheClickListener,onClick,Long Statement
cgeo,cgeo.geocaching,DropCacheClickListener,onClick,Long Statement
cgeo,cgeo.geocaching,CgeoApplication,showOverflowMenu,Empty catch clause
cgeo,cgeo.geocaching,CompassActivity,onCreate,Complex Method
cgeo,cgeo.geocaching,CompassActivity,onCreate,Long Statement
cgeo,cgeo.geocaching,CompassActivity,onResume,Long Statement
cgeo,cgeo.geocaching,CompassActivity,executeAfter,Long Statement
cgeo,cgeo.geocaching,CompassActivity,reconfigureGui,Long Statement
cgeo,cgeo.geocaching,CompassActivity,setTarget,Long Statement
cgeo,cgeo.geocaching,CompassActivity,accept,Long Statement
cgeo,cgeo.geocaching,CompassActivity,updateGeoDirData,Complex Conditional
cgeo,cgeo.geocaching,CompassActivity,updateGeoDirData,Long Statement
cgeo,cgeo.geocaching,CompassActivity,updateNorthHeading,Long Statement
cgeo,cgeo.geocaching,CompassActivity,updateDeviceHeadingAndOrientation,Long Statement
cgeo,cgeo.geocaching,CompassActivity,updateDeviceHeadingAndOrientation,Magic Number
cgeo,cgeo.geocaching,CreateShortcutActivity,promptForShortcut,Long Statement
cgeo,cgeo.geocaching,CreateShortcutActivity,promptForListShortcut,Long Statement
cgeo,cgeo.geocaching,CreateShortcutActivity,createOverlay,Long Statement
cgeo,cgeo.geocaching,CreateShortcutActivity,createOverlay,Magic Number
cgeo,cgeo.geocaching,EditWaypointActivity,handleMessage,Complex Method
cgeo,cgeo.geocaching,EditWaypointActivity,handleMessage,Long Statement
cgeo,cgeo.geocaching,EditWaypointActivity,onCreate,Complex Method
cgeo,cgeo.geocaching,EditWaypointActivity,onResume,Long Statement
cgeo,cgeo.geocaching,EditWaypointActivity,initializeWaypointTypeSelector,Long Statement
cgeo,cgeo.geocaching,EditWaypointActivity,onItemSelected,Long Statement
cgeo,cgeo.geocaching,EditWaypointActivity,getDefaultWaypointType,Missing default
cgeo,cgeo.geocaching,EditWaypointActivity,initializeDistanceUnitSelector,Long Statement
cgeo,cgeo.geocaching,EditWaypointActivity,onClick,Complex Conditional
cgeo,cgeo.geocaching,EditWaypointActivity,onClick,Empty catch clause
cgeo,cgeo.geocaching,EditWaypointActivity,finishConfirmDiscard,Long Statement
cgeo,cgeo.geocaching,EditWaypointActivity,coordsTextsValid,Long Statement
cgeo,cgeo.geocaching,EditWaypointActivity,getActivityData,Complex Conditional
cgeo,cgeo.geocaching,EditWaypointActivity,getActivityData,Long Statement
cgeo,cgeo.geocaching,EditWaypointActivity,isWaypointChanged,Long Statement
cgeo,cgeo.geocaching,EditWaypointActivity,handleMessage,Missing default
cgeo,cgeo.geocaching,EditWaypointActivity,saveWaypointInBackground,Complex Conditional
cgeo,cgeo.geocaching,EditWaypointActivity,saveWaypointInBackground,Long Statement
cgeo,cgeo.geocaching,LoadWaypointHandler,handleMessage,Complex Method
cgeo,cgeo.geocaching,LoadWaypointHandler,handleMessage,Long Statement
cgeo,cgeo.geocaching,CoordDialogListener,onClick,Complex Conditional
cgeo,cgeo.geocaching,CoordDialogListener,onClick,Empty catch clause
cgeo,cgeo.geocaching,FinishWaypointSaveHandler,handleMessage,Complex Method
cgeo,cgeo.geocaching,FinishWaypointSaveHandler,handleMessage,Long Statement
cgeo,cgeo.geocaching,FinishWaypointSaveHandler,handleMessage,Missing default
cgeo,cgeo.geocaching,HandleLocalFilesActivity,onCreate,Missing default
cgeo,cgeo.geocaching,ImageSelectActivity,onCreate,Complex Method
cgeo,cgeo.geocaching,ImageSelectActivity,onCreate,Long Identifier
cgeo,cgeo.geocaching,ImageSelectActivity,onCreate,Long Statement
cgeo,cgeo.geocaching,ImageSelectActivity,onSaveInstanceState,Long Identifier
cgeo,cgeo.geocaching,ImageSelectActivity,syncEditTexts,Long Statement
cgeo,cgeo.geocaching,ImageSelectActivity,deleteImageFromDeviceIfNotOriginal,Complex Conditional
cgeo,cgeo.geocaching,ImageSelectActivity,updateScaleValueDisplayIntern,Long Statement
cgeo,cgeo.geocaching,InstallWizardActivity,onCreate,Long Statement
cgeo,cgeo.geocaching,InstallWizardActivity,onCreate,Missing default
cgeo,cgeo.geocaching,InstallWizardActivity,updateDialog,Complex Method
cgeo,cgeo.geocaching,InstallWizardActivity,updateDialog,Long Method
cgeo,cgeo.geocaching,InstallWizardActivity,updateDialog,Long Statement
cgeo,cgeo.geocaching,InstallWizardActivity,updateDialog,Missing default
cgeo,cgeo.geocaching,InstallWizardActivity,setNavigation,Long Parameter List
cgeo,cgeo.geocaching,InstallWizardActivity,setButton,Long Parameter List
