Project Name,Package Name,Type Name,Method Name,Code Smell
grocy-android,com.google.android.material.bottomsheet,CustomBottomSheetDialog,onAttachedToWindow,Magic Number
grocy-android,com.google.android.material.bottomsheet,CustomBottomSheetDialog,wrapInBottomSheet,Complex Conditional
grocy-android,com.google.android.material.bottomsheet,CustomBottomSheetDialog,EdgeToEdgeCallback,Long Statement
grocy-android,com.google.android.material.bottomsheet,CustomBottomSheetDialog,setPaddingForPosition,Long Statement
grocy-android,com.google.android.material.bottomsheet,CustomBottomSheetDialog,setLightStatusBar,Long Statement
grocy-android,com.google.android.material.bottomsheet,EdgeToEdgeCallback,EdgeToEdgeCallback,Long Statement
grocy-android,com.google.android.material.bottomsheet,EdgeToEdgeCallback,setPaddingForPosition,Long Statement
grocy-android,com.google.android.material.bottomsheet,CustomBottomSheetDialogFragment,dismissWithAnimation,Long Identifier
grocy-android,com.google.android.material.bottomsheet,CustomBottomSheetDialogFragment,dismissAfterAnimation,Long Identifier
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,onCreate,Complex Conditional
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,onCreate,Complex Method
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,onCreate,Long Method
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,onCreate,Long Statement
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,onCreate,Magic Number
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,onCreate,Missing default
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,updateBottomAppBar,Complex Conditional
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,updateBottomAppBar,Complex Method
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,updateBottomAppBar,Long Method
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,updateBottomAppBar,Long Statement
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,updateBottomAppBar,Magic Number
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,updateFab,Long Parameter List
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,getNavOptionsBuilderFragmentFadeOrSlide,Long Statement
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,getUriWithArgs,Empty catch clause
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,showKeyboard,Magic Number
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,hideKeyboard,Long Statement
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,clearOfflineDataAndRestart,Magic Number
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,replaceFabIcon,Magic Number
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,onAnimationEnd,Magic Number
grocy-android,xyz.zedler.patrick.grocy.activity,MainActivity,insertConscrypt,Long Statement
grocy-android,xyz.zedler.patrick.grocy.activity,SplashActivity,onCreate,Complex Method
grocy-android,xyz.zedler.patrick.grocy.activity,SplashActivity,onCreate,Long Method
grocy-android,xyz.zedler.patrick.grocy.activity,SplashActivity,onCreate,Long Statement
grocy-android,xyz.zedler.patrick.grocy.activity,SplashActivity,onCreate,Magic Number
grocy-android,xyz.zedler.patrick.grocy.activity,SplashActivity,onCreate,Missing default
grocy-android,xyz.zedler.patrick.grocy.activity,SplashActivity,attachBaseContext,Magic Number
grocy-android,xyz.zedler.patrick.grocy.adapter,ChooseProductAdapter,onCreateViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,ChoreEntryAdapter,Long Parameter List
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,onBindViewHolder,Complex Conditional
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,onBindViewHolder,Complex Method
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,onBindViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,onBindViewHolder,Magic Number
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,updateData,Long Parameter List
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,updateData,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,DiffCallback,Long Parameter List
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,compare,Complex Conditional
grocy-android,xyz.zedler.patrick.grocy.adapter,ChoreEntryAdapter,compare,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,DiffCallback,DiffCallback,Long Parameter List
grocy-android,xyz.zedler.patrick.grocy.adapter,DiffCallback,compare,Complex Conditional
grocy-android,xyz.zedler.patrick.grocy.adapter,DiffCallback,compare,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,LanguageAdapter,onBindViewHolder,Complex Conditional
grocy-android,xyz.zedler.patrick.grocy.adapter,LocationAdapter,onCreateViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,MasterObjectListAdapter,MasterObjectListAdapter,Long Parameter List
grocy-android,xyz.zedler.patrick.grocy.adapter,MasterObjectListAdapter,compare,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,MasterPlaceholderAdapter,getItemCount,Magic Number
grocy-android,xyz.zedler.patrick.grocy.adapter,MatchProductsArrayAdapter,performFiltering,Magic Number
grocy-android,xyz.zedler.patrick.grocy.adapter,ProductAdapter,onCreateViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,ProductBarcodeAdapter,ProductBarcodeAdapter,Long Parameter List
grocy-android,xyz.zedler.patrick.grocy.adapter,ProductBarcodeAdapter,ProductBarcodeAdapter,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,ProductBarcodeAdapter,onCreateViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,ProductBarcodeAdapter,onBindViewHolder,Complex Method
grocy-android,xyz.zedler.patrick.grocy.adapter,ProductBarcodeAdapter,onBindViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,ProductGroupAdapter,onCreateViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,ProductGroupAdapter,onBindViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,QuantityUnitAdapter,onCreateViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,QuantityUnitConversionAdapter,QuantityUnitConversionAdapter,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,QuantityUnitConversionAdapter,onCreateViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,QuantityUnitConversionAdapter,onBindViewHolder,Long Statement
grocy-android,xyz.zedler.patrick.grocy.adapter,RecipeEditIngredientListEntryAdapter,RecipeEditIngredientListEntryAdapter,Long Parameter List
